"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2018-09-01","9.40",,"0.00","0.0","0.0","74","79","70","   60","  110","15.0","19.0",,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2018-09-02","6.93",,"0.00","0.0","0.0","76","82","70","  160","  170","16.1","19.0",,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2018-09-03","6.93",,"0.00","0.0","0.0","82","93","77","  170","  140","16.1","19.9",,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2018-09-04","7.38",,"0.00","0.0","0.0","86","93","80","  300","   60","14.1","21.0",,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2018-09-05","8.28",,"0.00","0.0","0.0","85","91","79","  180","  180","17.0","21.9",,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2018-09-06","8.05",,"0.22","0.0","0.0","85","96","76","   10","   10","28.0","38.0","    1",,"    1",,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2018-09-07","11.18",,"0.00","0.0","0.0","76","77","71","   40","   60","19.9","23.9",,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2018-09-08","11.63",,"0.01","0.0","0.0","70","73","63","   50","   40","18.1","23.0",,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2018-09-09","15.21",,"0.28","0.0","0.0","63","66","59","   60","   60","23.0","29.1",,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2018-09-10","15.88",,"0.94","0.0","0.0","62","67","57","   90","   90","23.9","29.1","    1",,,,,,"    1",
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2018-09-11","5.59",,"0.03","0.0","0.0","68","75","64","   30","   20","15.0","19.0","    1",,,,,,"    1",
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2018-09-12","7.61",,"0.12","0.0","0.0","74","78","72","   50","   70","15.0","21.0","    1","    1",,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2018-09-13","11.41",,"0.14","0.0","0.0","73","77","70","   60","   60","17.0","23.0","    1",,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2018-09-14","10.74",,"0.00","0.0","0.0","73","77","70","   40","   60","17.0","25.9",,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2018-09-15","6.04",,"0.00","0.0","0.0","74","82","69","  190","  180","12.1","15.0",,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2018-09-16","4.92",,"0.00","0.0","0.0","76","86","70","  160","  150","13.0","16.1",,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2018-09-17","8.50",,"0.04","0.0","0.0","75","80","71","  170","  170","16.1","23.0","    1",,,,,,,
